date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:14	46/46	---M--	200	added ('OK')	text/plain	date:Wed,%2020%20Apr%202022%2009:19:34%20GMT	https://noahspets.online/robots.txt		(from )
14:26:14	32586/32586	---MCZ	200	added ('OK')	text/html	etag:%227f4a-pVGam1lgBzVkzv+DmHnVruxO1MA%22	https://noahspets.online/	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/noahspets.online/index.html	(from )
14:26:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2002%20Jul%202022%2008:56:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/www.googletagmanager.com/gtm.05445.delayed	(from https://noahspets.online/)
14:26:15	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Jul%202022%2008:56:14%20GMT	https://fonts.gstatic.com/	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/fonts.gstatic.com/index.html	(from https://noahspets.online/)
14:26:16	1082/1082	---MCZ	200	added ('OK')	application/javascript	etag:W/%2243a-18139ac2db4%22	https://noahspets.online/worker.js	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/noahspets.online/worker.js	(from https://noahspets.online/)
14:26:19	41427/41427	---M--	200	added ('OK')	image/jpeg	etag:%22c3b3eb97fa7f243b32f3ff69dd109b9d%22	https://cdn.dotpe.in/longtail/store-logo/5882897/VpJwAltd.jpeg	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/cdn.dotpe.in/longtail/store-logo/5882897/VpJwAltd.jpg	(from https://noahspets.online/)
14:26:20	752/752	---M--	200	added ('OK')	application/json	etag:%222f0-QISqjX0N7EBZHCt6yJ/R5rzLbo8%22	https://noahspets.online/api/manifest?domain=noahspets.online&banner=Noah%E2%80%99s%20pets&logo=https://cdn.dotpe.in/longtail/store-logo/5882897/VpJwAltd.jpeg&url=https://noahspets.online	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/noahspets.online/api/manifest1886.json	(from https://noahspets.online/)
14:26:22	404728/404728	---MCZ	200	added ('OK')	text/css	etag:W/%2262cf8-1815c4b65ba%22	https://noahspets.online/_next/static/css/ceebcdd8bff49d8e61c9.css	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/noahspets.online/_next/static/css/ceebcdd8bff49d8e61c9.css	(from https://noahspets.online/)
14:26:23	11455/11455	---MCZ	200	added ('OK')	text/css	etag:W/%222cbf-17f2c86505c%22	https://noahspets.online/_next/static/css/3dd27d69f51e892a6100.css	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/noahspets.online/_next/static/css/3dd27d69f51e892a6100.css	(from https://noahspets.online/)
14:26:24	2036/2036	---MCZ	200	added ('OK')	application/javascript	etag:W/%227f4-179d74065e2%22	https://noahspets.online/_next/static/chunks/webpack-fe4b4968ddeab099efef.js	/storage/emulated/0/HTTrack/Websites/Noah's%20pet/noahspets.online/_next/static/chunks/webpack-fe4b4968ddeab099efef.js	(from https://noahspets.online/)
